iter	Passed	Remaining
0	141	141733
1	145	72755
2	149	49801
3	153	38217
4	157	31366
5	161	26692
6	165	23418
7	168	20914
8	172	19011
9	176	17457
10	180	16235
11	184	15179
12	188	14310
13	192	13549
14	196	12931
15	201	12387
16	205	11907
17	210	11486
18	214	11090
19	219	10747
20	223	10414
21	227	10124
22	231	9847
23	235	9596
24	240	9377
25	244	9146
26	248	8962
27	252	8774
28	257	8618
29	261	8459
30	266	8325
31	270	8191
32	274	8050
33	278	7925
34	282	7801
35	287	7690
36	290	7566
37	295	7470
38	299	7370
39	303	7275
40	306	7172
41	311	7096
42	314	7004
43	318	6928
44	322	6848
45	326	6780
46	330	6707
47	334	6638
48	338	6570
49	342	6508
50	346	6442
51	349	6380
52	353	6319
53	357	6267
54	361	6207
55	365	6155
56	368	6102
57	372	6054
58	376	6003
59	380	5953
60	384	5913
61	388	5879
62	392	5840
63	396	5805
64	400	5762
65	404	5722
66	408	5684
67	412	5649
68	415	5612
69	420	5582
70	423	5543
71	427	5506
72	430	5466
73	433	5430
74	437	5394
75	441	5372
76	445	5339
77	449	5314
78	452	5280
79	457	5260
80	461	5233
81	465	5212
82	469	5185
83	472	5157
84	476	5129
85	480	5103
86	484	5085
87	488	5065
88	492	5039
89	496	5021
90	500	5001
91	504	4976
92	507	4952
93	512	4935
94	517	4925
95	520	4903
96	524	4885
97	528	4866
98	532	4845
99	535	4823
100	539	4802
101	543	4784
102	547	4767
103	551	4747
104	555	4733
105	559	4715
106	563	4700
107	566	4680
108	570	4664
109	574	4647
110	578	4630
111	581	4610
112	585	4595
113	589	4579
114	593	4565
115	597	4549
116	601	4535
117	605	4524
118	608	4507
119	612	4493
120	616	4477
121	620	4462
122	623	4446
123	627	4432
124	631	4417
125	635	4405
126	638	4388
127	643	4380
128	647	4370
129	651	4358
130	655	4350
131	659	4333
132	663	4324
133	666	4309
134	670	4297
135	674	4286
136	678	4274
137	682	4261
138	686	4252
139	690	4242
140	694	4233
141	698	4221
142	703	4214
143	706	4199
144	710	4190
145	714	4178
146	719	4173
147	722	4161
148	726	4150
149	730	4137
150	734	4128
151	738	4117
152	742	4110
153	748	4109
154	752	4103
155	758	4101
156	764	4102
157	769	4099
158	775	4100
159	780	4098
160	784	4089
161	789	4085
162	794	4079
163	798	4069
164	802	4063
165	807	4055
166	811	4048
167	815	4041
168	820	4034
169	824	4027
170	829	4019
171	834	4016
172	838	4008
173	843	4003
174	847	3996
175	852	3989
176	856	3982
177	860	3974
178	865	3968
179	869	3960
180	874	3955
181	878	3946
182	882	3939
183	886	3930
184	890	3923
185	895	3917
